Time,Fitnes
0.000232201,4.5
0.00031927699999999997,4.5
0.000366625,4.5
0.00042179699999999996,4.5
0.00047561999999999995,4.5
0.000527272,4.5
0.0005808559999999999,4.5
0.0006341649999999999,4.5
0.000686859,4.5
0.000731731,4.5
0.000785216,4.5
0.000835109,4.5
0.000888107,4.5
0.000944574,4.5
0.000988978,4.5
0.001043483,4.5
0.001100009,4.5
0.001150724,4.5
0.001202989,4.5
0.001255207,4.5
0.001313895,4.5
0.0013647260000000001,4.5
0.0014091680000000001,4.5
0.001450656,4.5
0.001506247,4.5
0.0015640880000000002,4.5
0.0016057110000000001,4.5
0.0016625210000000001,4.5
0.001710314,4.5
0.001761144,4.5
0.001804798,4.5
0.001862815,4.5
0.001913647,4.5
0.001965973,4.5
0.002018686,4.5
0.002080715,4.5
0.002136481,4.5
0.00218351,4.5
0.002236836,4.5
0.00228394,4.5
0.002344535,4.5
0.002405459,4.5
0.0027729169999999997,4.5
0.002820924,4.5
0.0028664009999999998,4.5
0.0029243259999999997,4.5
0.002970661,4.5
0.003016417,4.5
0.003060158,4.5
0.003104744,4.5
0.00314981,4.5
0.0031939439999999998,4.5
0.0032474269999999998,4.5
0.003293033,4.5
0.0033357549999999997,4.5
0.0033793699999999996,4.5
0.0034334239999999996,4.5
0.0034787919999999996,4.5
0.0035214029999999998,4.5
0.003566631,4.5
0.0036085059999999996,4.5
0.0036529689999999994,4.5
0.0037487499999999995,4.5
0.0038303749999999996,4.5
0.0039336349999999996,4.5
0.0040174,4.5
0.004122019,4.5
0.004202374,4.5
0.004300827,4.5
0.004385225,4.5
0.004483123,4.5
0.004562895,4.5
0.004658756,4.5
0.004730261,4.5
0.0047989930000000005,4.5
0.0048431870000000005,4.5
0.0049033390000000005,4.5
0.004945931000000001,4.5
0.005001284000000001,4.5
0.005043685000000001,4.5
0.005098972000000001,4.5
0.005140729000000001,4.5
0.005194203000000001,4.5
0.005236918000000001,4.5
0.005298049000000001,4.5
0.005341188000000001,4.5
0.0053946060000000014,4.5
0.005435305000000001,4.5
0.005492603000000001,4.5
0.005534456000000001,4.5
0.005577385000000001,4.5
0.005618070000000001,4.5
0.005660876000000001,4.5
0.005702119000000001,4.5
0.005744722000000001,4.5
0.005788386,4.5
0.005833841,4.5
0.005886814000000001,4.5
0.005930969,4.5
0.005984436,4.5
0.006028914,4.5
0.006081303,4.5
0.006125172999999999,4.5
0.006177319,4.5
0.006233158999999999,4.5
0.006302329,4.5
0.006346234,4.5
0.00639985,4.5
0.006444628,4.5
0.006516285,4.5
0.0065601470000000005,4.5
0.006621251000000001,4.5
0.006663828000000001,4.5
0.006726967000000001,4.5
0.006771840000000001,4.5
0.006830320000000001,4.5
0.006874544000000001,4.5
0.006931836,4.5
0.006973325,4.5
0.007027454,4.5
0.00706867,4.5
0.007121115,4.5
0.007162796,4.5
0.0072166999999999995,4.5
0.007257886999999999,4.5
0.0073184999999999995,4.5
0.00736095,4.5
0.007417243,4.5
0.00746013,4.5
0.007515379,4.5
0.0075580379999999996,4.5
0.007615034,4.5
0.007657901,4.5
0.00771444,4.5
0.007756825,4.5
0.007812459,4.5
0.00785433,4.5
0.007910705,4.5
0.007952537,4.5
0.008040617000000002,4.5
0.008108483000000001,4.5
0.008167437000000001,4.5
0.008210713000000001,4.5
0.008266248000000002,4.5
0.008308996000000003,4.5
